"Y","X","title"
"13.378812","52.430932","Flohmarkt Marienfelde, Hornbach-Parkplatz, Großbeerenstr. 133, 12107 Berlin"
"13.35207","52.49125","Kinder- und BabyTrödel
Kiezoase Schöneberg, 
K.-Schrader-Str. 7-8"
"13.624878","52.451915","Mehrerer Einträge..."
"13.550499","52.438803","Dörpfeldstraße"
"13.581218","52.458214","Am S-Bhf. Köpenick
Elcknerplatz"
"13.574727","52.445903","Schlossplatz Alt-Köpenick"
"13.511113","52.456175","Schellerstraße Ecke Spreestraße"
"13.624471","52.457332","Kunst- und Trödelmarkt 
am S-Bhf. Friedrichshagen"
"13.544921","52.397508","Flohmarkt Schönefeld, Grünbergallee 279, Hornbach-Parkplatz"
"13.2755","52.51523","Treptower HallenTrödelmarkt, 
Eichenstr. 4"
