Y,X,title,href,descriptio,id,data
13.294055,52.515561,"Straßenflohmarkt, Karée Nehringstraße - Klausenerplatz - Danckelmannstraße - Knobelsdorffstraße",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/36,"nur 09.05.2015<br />10:00 - 15:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/36"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/36,"{ ""id"": ""36"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Straßenflohmarkt, Karée Nehringstraße - Klausenerplatz - Danckelmannstraße - Knobelsdorffstraße"", ""latitude"": ""52,515561"", ""longitude"": ""13,294055"", ""tage"": ""nur 09.05.2015"", ""zeiten"
13.324626,52.460928,Mehrerer Einträge...,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/38,"<strong>3. Antik- und Kunstmarkt an der Villa Oppenheim, Schloßstr. 55</strong><br />18.04.2015<br />11:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/38"">Mehr...</a><br /><br /",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/38,"{ ""id"": ""38"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""3. Antik- und Kunstmarkt an der Villa Oppenheim, Schloßstr. 55"", ""latitude"": ""52,460928"", ""longitude"": ""13,324626"", ""tage"": ""18.04.2015"", ""zeiten"": ""11:00 - 18:00"", ""betreiber"": ""Herr Ha"
13.449666,52.516919,"Kino Kosmos, Karl-Marx-Allee 131 a",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/46,"Fr<br />10:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/46"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/46,"{ ""id"": ""46"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Kino Kosmos, Karl-Marx-Allee 131 a"", ""latitude"": ""52,516919"", ""longitude"": ""13,449666"", ""tage"": ""Fr"", ""zeiten"": ""10:00 - 16:00"", ""betreiber"": ""Marktleitung: \nHerr Frantz, Tel.: 0178\/476 2"
13.459593,52.510789,Mehrerer Einträge...,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/48,"<strong>Boxhagener Platz</strong><br />Sa<br />09:00 - 15:30<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/48"">Mehr...</a><br /><br /><strong>Trödelmarkt Boxhagener Platz</strong><br />So",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/48,"{ ""id"": ""48"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Boxhagener Platz"", ""latitude"": ""52,510789"", ""longitude"": ""13,459593"", ""tage"": ""Sa"", ""zeiten"": ""09:00 - 15:30"", ""betreiber"": ""Marktleitung: \nHerr Frantz, Tel.: 0178\/476 22 42\/3"", ""email"":"
13.436754,52.518247,Koppenstraße / Ecke Karl-Marx-Allee,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/50,"Di, 
Do<br />10:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/50"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/50,"{ ""id"": ""50"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Koppenstraße \/ Ecke Karl-Marx-Allee"", ""latitude"": ""52,518247"", ""longitude"": ""13,436754"", ""tage"": ""Di, \nDo"", ""zeiten"": ""10:00 - 18:00"", ""betreiber"": ""Marktleitung: \nHerr Frantz, Tel.: 01"
13.434654,52.511326,"Am Kaufhof Ostbahnhof
(Erich-Steinfurth-Straße)",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/52,"Mo - Fr
Sa<br />10:00 - 19:00
09:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/52"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/52,"{ ""id"": ""52"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Am Kaufhof Ostbahnhof\n(Erich-Steinfurth-Straße)"", ""latitude"": ""52,511326"", ""longitude"": ""13,434654"", ""tage"": ""Mo - Fr\nSa"", ""zeiten"": ""10:00 - 19:00\n09:00 - 16:00"", ""betreiber"": ""Marktle"
13.422153,52.4927,Schönleinstraße am Hohenstaufenplatz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/54,"Di
Sa<br />12:00 - 18:00
10:00 - 14:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/54"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/54,"{ ""id"": ""54"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Schönleinstraße am Hohenstaufenplatz"", ""latitude"": ""52,4927"", ""longitude"": ""13,422153"", ""tage"": ""Di\nSa"", ""zeiten"": ""12:00 - 18:00\n10:00 - 14:00"", ""betreiber"": ""Marktleitung: \nÖko- u."
13.390836,52.488566,Ökomarkt -  Chamissoplatz Berlin - Kreuzberg - Chamissoplatz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/56,"Sa<br />09:00 - 15:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/56"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/56,"{ ""id"": ""56"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Ökomarkt -  Chamissoplatz Berlin - Kreuzberg - Chamissoplatz"", ""latitude"": ""52,488566"", ""longitude"": ""13,390836"", ""tage"": ""Sa"", ""zeiten"": ""09:00 - 15:00"", ""betreiber"": ""Veranstalter: Verbu"
13.431592,52.500373,Öko - Markt auf dem Lausitzer Platz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/58,"Fr<br />11:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/58"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/58,"{ ""id"": ""58"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Öko - Markt auf dem Lausitzer Platz"", ""latitude"": ""52,500373"", ""longitude"": ""13,431592"", ""tage"": ""Fr"", ""zeiten"": ""11:00 - 18:00"", ""betreiber"": ""Marktleitung: \nÖko- u. Bauernmarkt, Herr D"
13.391003,52.503736,Mehringplatz u. Friedrichstraße,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/60,"Mo, Do<br />10:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/60"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/60,"{ ""id"": ""60"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Mehringplatz u. Friedrichstraße"", ""latitude"": ""52,503736"", ""longitude"": ""13,391003"", ""tage"": ""Mo, Do"", ""zeiten"": ""10:00 - 18:00"", ""betreiber"": ""Marktleitung: \nB.Wo.B. Betriebsgesellschaft"
13.43186,52.50202,"Markthalle Neun, Eisenbahnstraße 42/43, 10997 Berlin",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/62,"Di,Fr Wochenmarkt
Sa Wochenmarkt<br />12:00 - 20:00
10:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/62"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/62,"{ ""id"": ""62"", ""bezirk"": ""Friedrichshain-Kreuzberg"", ""location"": ""Markthalle Neun, Eisenbahnstraße 42\/43, 10997 Berlin"", ""latitude"": ""52,50202"", ""longitude"": ""13,43186"", ""tage"": ""Di,Fr Wochenmarkt\nSa Wochenmarkt"", ""zeiten"": ""12:00 - 20:00\n10:00 - 18:0"
